id	type	modified	language	rights	rightsHolder	bibliographicCitation	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	individualCount	sex	lifeStage	preparations	disposition	eventDate	year	month	day	verbatimEventDate	habitat	eventRemarks	locationID	continent	waterBody	country	countryCode	stateProvince	locality	verbatimElevation	minimumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	georeferencedBy	scientificName	originalNameUsage	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	taxonRemarks
NMR996800035528	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes venatus (Bremer & Grey, 1853) (NMR 996800035528)"	NMR	Insecta	PreservedSpecimen	NMR996800035528	NMR996800035528		1			imago	in collection	7/12/10	2010	7	12					Asia		China	CN-51	Sichuan	W of Jiuzhaigou		2677	33.225	103.738333	WGS84			F.J.A. Slieker	"Papilio polytes  Linnaeus, 1758"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		venatus			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035529	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes venatus (Bremer & Grey, 1853) (NMR 996800035529)"	NMR	Insecta	PreservedSpecimen	NMR996800035529	NMR996800035529		1			imago	in collection	7/12/10	2010	7	12					Asia		China	CN-51	Sichuan	W of Jiuzhaigou		2677	33.225	103.738333	WGS84			F.J.A. Slieker	"Papilio paris  Linnaeus, 1758"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		venatus			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035530	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes venatus (Bremer & Grey, 1853) (NMR 996800035530)"	NMR	Insecta	PreservedSpecimen	NMR996800035530	NMR996800035530		1			imago	in collection	7/12/10	2010	7	12					Asia		China	CN-51	Sichuan	W of Jiuzhaigou		2677	33.225	103.738333	WGS84			F.J.A. Slieker	"Papilio paris  Linnaeus, 1758"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		venatus			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035531	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes venatus (Bremer & Grey, 1853) (NMR 996800035531)"	NMR	Insecta	PreservedSpecimen	NMR996800035531	NMR996800035531		1			imago	in collection	7/15/10	2010	7	15					Asia		China	CN-51	Sichuan	Luding		1400	29.926667	102.2325	WGS84			F.J.A. Slieker	"Papilio paris  Linnaeus, 1758"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		venatus			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035532	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes subhyalina (Bremer & Grey, 1853) (NMR 996800035532)"	NMR	Insecta	PreservedSpecimen	NMR996800035532	NMR996800035532		1			imago	in collection	7/6/10	2010	7	6					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Papilio paris  Linnaeus, 1758"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		subhyalina			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035533	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes subhyalina (Bremer & Grey, 1853) (NMR 996800035533)"	NMR	Insecta	PreservedSpecimen	NMR996800035533	NMR996800035533		1			imago	in collection	6/19/09	2009	6	19					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Papilio paris  Linnaeus, 1758"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		subhyalina			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035534	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes subhyalina (Bremer & Grey, 1853) (NMR 996800035534)"	NMR	Insecta	PreservedSpecimen	NMR996800035534	NMR996800035534		1			imago	in collection	6/19/09	2009	6	19					Asia		China	CN-51	Sichuan	"Jiuzhaigou, Jiulong Hotel"		2050	33.287588	103.900072	WGS84			F.J.A. Slieker	"Papilio paris  Linnaeus, 1758"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		subhyalina			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035535	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes subhyalina (Bremer & Grey, 1853) (NMR 996800035535)"	NMR	Insecta	PreservedSpecimen	NMR996800035535	NMR996800035535		1			imago	in collection	6/20/09	2009	6	20					Asia		China	CN-51	Sichuan	Road Jiuzhaigou-Baihe		1635	33.327699	104.030348	WGS84			F.J.A. Slieker	"Papilio paris  Linnaeus, 1758"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		subhyalina			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035536	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes subhyalina (Bremer & Grey, 1853) (NMR 996800035536)"	NMR	Insecta	PreservedSpecimen	NMR996800035536	NMR996800035536		1			imago	in collection	6/20/09	2009	6	20					Asia		China	CN-51	Sichuan	Road Jiuzhaigou-Baihe		1490	33.327699	104.030348	WGS84			F.J.A. Slieker	"Papilio alcmenor  Felder & Felder, 1864"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		subhyalina			"(Bremer & Grey, 1853)"		ICZN	accepted	
NMR996800035537	Physical object	20-02-2015	en	ExColl:R. Vis	Natural History Museum Rotterdam	"Ochlodes subhyalina (Bremer & Grey, 1853) (NMR 996800035537)"	NMR	Insecta	PreservedSpecimen	NMR996800035537	NMR996800035537		1			imago	in collection	6/30/06	2006	6	30					Asia		China	CN-53	Yunnan	"Lijiang, Black Dragon Pool Park"		2400	26.8	100.266667	WGS84			F.J.A. Slieker	"Papilio xuthus  Linnaeus, 1767"		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio		subhyalina			"(Bremer & Grey, 1853)"		ICZN	accepted	
